"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Alter S.","Alter, Steven (36093955400)","36093955400","AI-Based Requirements Analysis Assistant that Applies Explicit Knowledge and Includes Humans in the Loop","2025","Lecture Notes in Computer Science","15701 LNCS","","","20","36","0","10.1007/978-3-031-94569-4_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009234294&doi=10.1007%2F978-3-031-94569-4_2&partnerID=40&md5=806707000908628ddbc55c1b1f970573","This exploratory paper builds on the EMMSAD 2024 paper “Could a Large Language Model Contribute Significantly to Requirements Analysis?” Eight versions of each of three LLM prompts (for system structure, analysis, and recommendations) were applied to three 3000+ word case studies. Those versions expressed different “treatments” including a control with no RAG augmentation, a version with RAG augmentation based on an analysis template used by MBA and EMBA students, and six other versions based on theoretical approaches such as activity theory, a BPM design space, work system principles, and so on. The LLM responses were somewhat reliable for summarizing system structure, less reliable for summarizing an analysis, and often generic and impractical for recommendations because the LLM did not understand contexts. This new paper adds three new capabilities: 1) RAG augmentation using a knowledge base consisting of “knowledge objects” built on work system theory, 2) application of that knowledge base using chain-of-thought reasoning, 3) inclusion of direct feedback from analysts during an analysis process in order to correct errors and to extend the prompt in new directions. Examples are used to illustrate results from applying those capabilities to 3 disparate case studies. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Facets of Work; Large Language Model; Requirements Analysis; Work System Theory","Conference paper","Final","","Scopus","2-s2.0-105009234294"
"Gärtner A.E.; Göhlich D.","Gärtner, Alexander Elenga (57866653200); Göhlich, Dietmar (8877872400)","57866653200; 8877872400","Automated requirement contradiction detection through formal logic and LLMs","2024","Automated Software Engineering","31","2","49","","","16","10.1007/s10515-024-00452-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195535591&doi=10.1007%2Fs10515-024-00452-x&partnerID=40&md5=a495bc0e52c0484abb1353381773f1e8","This paper introduces ALICE (Automated Logic for Identifying Contradictions in Engineering), a novel automated contradiction detection system tailored for formal requirements expressed in controlled natural language. By integrating formal logic with advanced large language models (LLMs), ALICE represents a significant leap forward in identifying and classifying contradictions within requirements documents. Our methodology, grounded on an expanded taxonomy of contradictions, employs a decision tree model addressing seven critical questions to ascertain the presence and type of contradictions. A pivotal achievement of our research is demonstrated through a comparative study, where ALICE’s performance markedly surpasses that of an LLM-only approach by detecting 60% of all contradictions. ALICE achieves a higher accuracy and recall rate, showcasing its efficacy in processing real-world, complex requirement datasets. Furthermore, the successful application of ALICE to real-world datasets validates its practical applicability and scalability. This work not only advances the automated detection of contradictions in formal requirements but also sets a precedent for the application of AI in enhancing reasoning systems within product development. We advocate for ALICE’s scalability and adaptability, presenting it as a cornerstone for future endeavors in model customization and dataset labeling, thereby contributing a substantial foundation to requirements engineering. © The Author(s) 2024.","Contradiction detection; Natural language processing; Requirements engineering","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195535591"
"Mahmud T.; Che M.; Ngu A.; Yang G.","Mahmud, Tarek (57223988687); Che, Meiru (48361123700); Ngu, Anne (6603704604); Yang, Guowei (42162481300)","57223988687; 48361123700; 6603704604; 42162481300","Why android app testing falls short: empirical insights from open-source projects and a practitioner survey","2025","Empirical Software Engineering","30","6","163","","","0","10.1007/s10664-025-10726-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016817630&doi=10.1007%2Fs10664-025-10726-x&partnerID=40&md5=cb01dba21b8882e220cbe0b721951c5c","Android dominates the mobile operating system market, yet ensuring the quality and reliability of Android applications remains a persistent challenge. The diversity of devices, screen sizes, and OS versions complicates testing, leading to fragmented adoption of best practices. Despite advancements in automated testing, there is Limited empirical evidence on how developers test Android applications and the extent to which existing tools and frameworks are utilized effectively. In this paper, we aim to investigate the current state of Android app testing, identifying key challenges, Limitations, and best practices. Specifically, we assess the adoption of automated testing, test coverage levels, and the impact of testing practices on software quality. We conduct an experimental study on 2965 open-source Android apps, examining the quantity and coverage of the tests used for open-source Android app development. We further conduct a survey to gather more insights in testing practices from Android app developers and testers. The results reveal a limited adoption of testing among Android app developers, a restricted range of testing tools and frameworks being used, and low code and API coverage in testing. This investigation shows that current Android app testing practices are lacking the use of automated testing tools and embarks on a need for more awareness and adoption of state-of-the-art testing tools and techniques. © The Author(s) 2025.","Android; App testing; Automated testing; Empirical study; Practitioner survey","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105016817630"
"Süner-Pla-Cerdà S.; Şen G.; Kumbasar E.; Şahin B.; Ünlü C.E.","Süner-Pla-Cerdà, Sedef (57222731462); Şen, Güzin (56800096600); Kumbasar, Ecem (60018982400); Şahin, Batuhan (59544029400); Ünlü, Canan Emine (59216736800)","57222731462; 56800096600; 60018982400; 59544029400; 59216736800","Designer experiences and perspectives on the role of generative AI in industrial design","2025","AI and Society","","","","","","1","10.1007/s00146-025-02504-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011947677&doi=10.1007%2Fs00146-025-02504-6&partnerID=40&md5=817e917e90bc42e071fa574e90c3236a","The introduction of generative AI (GenAI) tools has created a significant disruption in the design professions as they become increasingly integrated into creative processes. Whilst there is an abundance of case-specific, applied studies testing how to integrate AI-supported tools into design workflows, little work has holistically examined their role and impact on the industrial design profession. This paper investigates human–AI co-creation, focussing specifically on the experiences and perspectives of industrial designers through a series of workshops and focus group discussions. In these workshops, industrial designers reflected on incorporating GenAI into their workflows via hands-on experiences with selected AI-based image generators. We conducted five workshops and focus group discussions with 32 industrial designers and design students, providing valuable insights into how the role and impact of GenAI for product design is perceived. Thematic analysis of the data collected from the discussions was triangulated with observation notes and AI-generated works collected during the workshop, offering a comprehensive view of the performance of said tools, their pragmatic uses, impacts on design performance and creativity, and anticipated effects on professional practise. Through designers’ elicited motivations and concerns, we outline the perceived professional opportunities, barriers, and risks of image generation. Drawing on these insights, we map the factors influencing GenAI adoption in the industrial design profession, framing the interplay of communication, automation, and designerly autonomy, and offer recommendations for the development of designer-friendly GenAI systems. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.","Designer–AI Co-Creation; Generative AI; Human-AI interaction; Industrial design","Article","Article in press","","Scopus","2-s2.0-105011947677"
"Bragilovski M.; van Can A.T.; Dalpiaz F.; Sturm A.","Bragilovski, Maxim (57226537928); van Can, Ashley T. (58653865200); Dalpiaz, Fabiano (24400635100); Sturm, Arnon (13806876400)","57226537928; 58653865200; 24400635100; 13806876400","Leveraging machines to derive domain models from user stories","2025","Requirements Engineering","30","2","","241","262","3","10.1007/s00766-025-00442-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003180477&doi=10.1007%2Fs00766-025-00442-9&partnerID=40&md5=70d4858f3cb6d60dff20e106b148ba2e","Domain models play a crucial role in software development, as they provide means for communication among stakeholders, for eliciting requirements, and for representing the information structure behind a database scheme or for model-driven development. However, creating such models is a tedious activity and automated support may assist in obtaining an initial domain model that can later be enriched by human analysts. In this paper, we compare the effectiveness of various approaches for deriving domain models from a given set of user stories. We contrast human derivation (of both experts and novices) with machine derivation; for the latter, we compare (i) the Visual Narrator: an existing rule-based NLP approach; (ii) a machine learning classifier that we feature engineered; and (iii) a generative AI approach that we constructed via prompt engineering with multiple configurations. Based on a benchmark dataset comprising nine collections of user stories and their corresponding domain models, the evaluation shows that while no approach matches human performance, large language models (LLMs) are not statistically outperformed by human experts in deriving classes. Additionally, a tuned version of the machine learning approach achieves results close to human performance in deriving associations. To better understand the results, we qualitatively analyze them and identify differences in the types of false positives as well as other factors that affect performance. © The Author(s) 2025.","Domain models; Large language models; Machine learning; Model derivation; Requirements engineering; User stories","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105003180477"
"Ali S.J.; Naganathan V.; Bork D.","Ali, Syed Juned (57709505200); Naganathan, Varun (59416371900); Bork, Dominik (56202518300)","57709505200; 59416371900; 56202518300","Establishing Traceability Between Natural Language Requirements and Software Artifacts by Combining RAG and LLMs","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15238 LNCS","","","295","314","11","10.1007/978-3-031-75872-0_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209545892&doi=10.1007%2F978-3-031-75872-0_16&partnerID=40&md5=4546cd20b1244e5114f5d2fda7c27319","Software Engineering aims to effectively translate stakeholders’ requirements into executable code to fulfill their needs. Traceability from natural language use case requirements to classes in a UML class diagram, subsequently translated into code implementation, is essential in systems development and maintenance. Tasks such as assessing the impact of changes and enhancing software reusability require a clear link between these requirements and their software implementation. However, establishing such links manually across extensive codebases is prohibitively challenging. Requirements, typically articulated in natural language, embody semantics that clarify the purpose of the codebase. Conventional traceability methods, relying on textual similarities between requirements and code, often suffer from low precision due to the semantic gap between high-level natural language requirements and the syntactic nature of code. The advent of Large Language Models (LLMs) provides new methods to address this challenge through their advanced capability to interpret both natural language and code syntax. Furthermore, representing code as a knowledge graph facilitates the use of graph structural information to enhance traceability links. This paper introduces an LLM-supported retrieval augmented generation approach for enhancing requirements traceability to the class diagram of the code, incorporating keyword, vector, and graph indexing techniques, and their integrated application. We present a comparative analysis against conventional methods and among different indexing strategies and parameterizations on the performance. Our results demonstrate how this methodology significantly improves the efficiency and accuracy of establishing traceability links in software development processes. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Large Language Models; LLM; Requirements Engineering; Requirements Traceability; Retrieval Augmented Generation","Conference paper","Final","","Scopus","2-s2.0-85209545892"
"Taghavi Far S.M.; Feyzi F.","Taghavi Far, Seyed Mohammad (59668658300); Feyzi, Farid (57189494394)","59668658300; 57189494394","Large language models for software vulnerability detection: a guide for researchers on models, methods, techniques, datasets, and metrics","2025","International Journal of Information Security","24","2","78","","","12","10.1007/s10207-025-00992-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219755516&doi=10.1007%2Fs10207-025-00992-7&partnerID=40&md5=20db5e1432a34bb7c1c877d2857e75f0","Large language models (LLMs) have emerged as transformative tools in the domain of software vulnerability detection and management, offering sophisticated capabilities in identifying, analyzing, and mitigating security risks. This article delves into the utilization of LLMs, examining their role in revolutionizing traditional approaches to software vulnerability detection. We explore the various categories of LLMs, such as bidirectional encoder representations from transformers (BERT) and generative pre-trained transformer (GPT), and how these models are being leveraged to improve the accuracy and efficiency of vulnerability detection. This article reviews how LLMs are being integrated into existing software security frameworks, synthesizing research findings on their performance in various contexts. It includes insights into how LLM-based methods complement traditional techniques like static analysis and fuzz testing, without engaging in a direct comparative analysis of these approaches. The comparison highlights the strengths of LLMs, such as their ability to generalize across diverse codebases and programming languages, while also addressing their limitations, such as susceptibility to biases from training data and the hallucination. The article synthesizes findings from recent research, showcasing how LLMs have been successfully employed to detect a range of vulnerabilities, from buffer overflows to SQL injections, and outlines how these models enhance productivity by automating the detection and reporting of security flaws. Additionally, we discuss the inherent challenges in applying LLMs to software vulnerability detection, such as the need for high-quality datasets, and the ethical implications related to the deployment of LLM-based systems in security-critical applications. Addressing these challenges is crucial for the future advancement of LLM technologies in the cybersecurity domain. A comprehensive introduction to foundational and specialized datasets is provided, including datasets such as CVEfixes, Big-Vul, and LineVul, which are tailored for software vulnerability detection. These datasets serve as crucial resources for training and benchmarking LLMs. Moreover, we introduce evaluation metrics such as F1-score, precision, recall, and AUC-ROC that are used to assess the performance of models in detecting and mitigating vulnerabilities, offering a structured way to gauge the success and limitations of LLMs. In addition, the article explores fine-tuning techniques such as full fine-tuning, feature extraction, adapter-based fine-tuning, and LoRA (low-rank adaptation), highlighting how each method can enhance LLM performance in vulnerability detection. By focusing on parameter-efficient fine-tuning approaches, such as adapter layers and prefix-tuning, and LoRa, we outline ways to optimize model performance while reducing computational overhead. By providing a comprehensive review of the literature and practical insights into LLM integration, this article aims to fill the gap in existing research and serve as a foundational guide for future investigations. Researchers and practitioners in the field of software security will benefit from the comparative analyses, detailed case studies, and strategic recommendations provided herein, which collectively highlight the potential of LLMs to complement and enhance traditional software vulnerability detection techniques. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","Computing methodologies; Fine-tuning techniques; Large language models (LLMs); Machine learning; Machine learning approaches; Security and privacy; Software and application security; Software security engineering; Software vulnerabilities; Software vulnerability datasets; Software vulnerability detection; Vulnerability detection metrics","Article","Final","","Scopus","2-s2.0-85219755516"
"Banerjee S.; Dutta A.; Agrawal A.; Hazra R.; Mukherjee A.","Banerjee, Somnath (57689046000); Dutta, Avik (58775382100); Agrawal, Aaditya (58142014800); Hazra, Rima (57191570397); Mukherjee, Animesh (57203731567)","57689046000; 58775382100; 58142014800; 57191570397; 57203731567","DistALANER: Distantly Supervised Active Learning Augmented Named Entity Recognition in the Open Source Software Ecosystem","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14950 LNAI","","","313","331","3","10.1007/978-3-031-70381-2_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203876482&doi=10.1007%2F978-3-031-70381-2_20&partnerID=40&md5=e8c4f62717a3485aaae38261843c1e55","As the AI revolution unfolds, the push toward automating support systems in diverse professional fields ranging from open-source software to healthcare, and banking to transportation has become more pronounced. Central to the automation of these systems is the early detection of named entities, a task that is foundational yet fraught with challenges due to the need for domain-specific expert annotations amid a backdrop of specialized terminologies, making the process both costly and complex. In response to this challenge, our paper presents an innovative named entity recognition (NER) framework (https://github.com/NeuralSentinel/DistALANER) tailored for the open-source software domain. Our method stands out by employing a distantly supervised, two-step annotation process that cleverly exploits language heuristics, bespoke lookup tables, external knowledge bases, and an active learning model. This multifaceted strategy not only elevates model performance but also addresses the critical hurdles of high costs and the dearth of expert annotators. A notable achievement of our approach is its capability to enable pre-large language models (pre-LLMs) to significantly outperform specially designed generic/domain specific LLMs for NER tasks. We also show the effectiveness of NER in the downstream task of relation extraction.  © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Active Learning; Distant Supervision; LLM; NER; Open Source","Conference paper","Final","","Scopus","2-s2.0-85203876482"
"Moreira E.J.V.F.; Campos J.C.","Moreira, Ezequiel José Veloso Ferreira (57219208623); Campos, José Creissac (7201617369)","57219208623; 7201617369","On the Role of Generative AI in Explaining Model Checking Counterexamples","2025","Lecture Notes in Computer Science","15518 LNCS","","","138","158","2","10.1007/978-3-031-91760-8_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007683064&doi=10.1007%2F978-3-031-91760-8_10&partnerID=40&md5=7ee72a4e2386a59fcd84d4ba0f8eba41","Formal verification can be a complementary approach to UCD, offering a systematic and repeatable process to address the demands of designing safety and mission-critical interactive systems. However, the practical application of formal verification often encounters barriers to accessibility for non-technical stakeholders. In the case of model checking, although the verification step is fully automated, developing the required specifications and interpreting the verification results requires considerable technical expertise in formal methods. Recent developments in generative Artificial Intelligence (AI) have driven proposals for Large Language Models (LLMs) to be applied throughout various phases of software engineering. This begs the question of whether LLMs might be used to help bridge the gap between formal techniques and tools and stakeholders lacking technical expertise. This paper explores how these questions might be addressed in the context of an ongoing effort aimed at translating model-checking counterexamples into natural language explanations, making them accessible to designers and domain experts. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Counterexamples; Large Language Models (LLMs); Model-checking","Conference paper","Final","","Scopus","2-s2.0-105007683064"
"Hey T.; Fuchß D.; Keim J.; Koziolek A.","Hey, Tobias (57191037997); Fuchß, Dominik (57209096250); Keim, Jan (57223054678); Koziolek, Anne (55094731500)","57191037997; 57209096250; 57223054678; 55094731500","Requirements Traceability Link Recovery via Retrieval-Augmented Generation","2025","Lecture Notes in Computer Science","15588 LNCS","","","381","397","1","10.1007/978-3-031-88531-0_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002722748&doi=10.1007%2F978-3-031-88531-0_27&partnerID=40&md5=a9b627e45385e60a3f4fe5ffb8264967","[Context and Motivation] In software development, various interrelated artifacts are created. Access to information on the relation between these artifacts eases understanding of the system and enables tasks such as change impact and software reusability analyses. Manual trace link creation is labor-intensive and costly, and thus is often missing in projects. Automation could enhance the development and maintenance efficiency. [Question/Problem] Current methods for automatically recovering traceability links between different types of requirements do not achieve the necessary performance to be applied in practice, or require pre-existing links for machine learning. [Principal Ideas and Results] We propose to address this limitation by leveraging large language models (LLMs) with retrieval-augmented generation (RAG) for inter-requirements traceability link recovery. In an empirical evaluation on six benchmark datasets, we show that chain-of-thought prompting can be beneficial, open-source models perform comparably to proprietary ones, and that the approach can outperform state-of-the-art and baseline approaches. [Contribution] This work presents an approach for inter-requirements traceability link recovery using RAG and provides the first empirical evidence of its performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","LLM; Requirements Engineering; Requirements Traceability; Retrieval-Augmented Generation; Traceability Link Recovery","Conference paper","Final","","Scopus","2-s2.0-105002722748"
"Poth A.; Wildegger A.; Levien D.-A.","Poth, Alexander (57207597845); Wildegger, Anna (59337184000); Levien, Dan-Alexander (57889567500)","57207597845; 59337184000; 57889567500","Considerations About Integration of GenAI into Products and Services from an Ethical and Legal Perspective","2024","Communications in Computer and Information Science","2180 CCIS","","","155","171","5","10.1007/978-3-031-71142-8_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204578699&doi=10.1007%2F978-3-031-71142-8_12&partnerID=40&md5=3fbdec3e506a1db91361d30ce185f895","Generative Artificial Intelligence (GenAI) has gained significant attention since the end of 2022. In many existing products and services chat-bots are integrated and completely new services based on GenAI, particularly those based on Large Language Models (LLMs) are under development or have been recently released. However, many aspects regarding the use of LLMs remain unclear, particularly in relation to the training and the inference phases. Training-related questions are about the selection of the data and their legal constraints and ethical considerations. Trained models are offered under new specific “AI licenses” with implications on the context of usage. Anyway, there are open aspects about inference outcomes respective with respect to the usage of LLMs. This work examines considerations in the context of the product and service development for the generation of test-cases facilitated by a LLM. Test-case generation is used in Information Technology (IT) to make derivations from specifications for test cases (respectively test-scripts) to validate the implementation. Test-case design and implementation can potentially be facilitated by LLMs – based on a hypothetical case, relevant aspects and considerations are discussed also including legal aspects based on the perspective of German law. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","ethics; generative AI; legal framework; open-source","Conference paper","Final","","Scopus","2-s2.0-85204578699"
"Chen J.; Zacharias J.","Chen, Johannes (57557485400); Zacharias, Jan (57998933100)","57557485400; 57998933100","Design Principles for Collaborative Generative AI Systems in Software Development","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14621 LNCS","","","341","354","8","10.1007/978-3-031-61175-9_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195264965&doi=10.1007%2F978-3-031-61175-9_23&partnerID=40&md5=b53a12aabf0869885dd927b864d58e4b","Generative artificial intelligence (GAI) has the potential to transform software development practices with prior research indicating significant overall enhancements in developers’ productivity. However, there exists a lack of design knowledge for organization-specific GAI systems to assist software development. To bridge this research gap, we derive a design framework for collaborative GAI systems in software development following design science research. Specifically, we conducted eight interviews with practitioners and reviewed extant literature to formulate design requirements and design principles. In our analysis of the literature and our qualitative data, we identify problems surrounding usability, data privacy, hallucination and transparency. To address these problems, we propose GAI system designs that enable user-centricity, data protection, quality control and communication. Our findings contribute valuable design knowledge to the field of generative AI and organizational software development practices. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Design Science Research; Generative Artificial Intelligence; Large Language Models; Programming Assistant; Software Development","Conference paper","Final","","Scopus","2-s2.0-85195264965"
